year,content,source
2024,"Great review! Syncing photos is fast if your case is on WiFi, appearing on my phone quickly.",x
2024,I use the glasses for social media content my first video hit 1.7M views!,x
2024,"I love mine for music, but my battery drains fast streaming Spotify, down to 10% in 30 minutes.",x
2024,"They aren't essential but are a nice add-on, something you buy with disposable income.",x
2025,Don't buy these without a prescription if you might need corrective lenses! Meta messed this up.,x
2024,I just got mine and LOVE them. Stylish and great for listening to music without earbuds.,x
2024,"If you lose the case, the glasses are useless. Customer service is useless I don't recommend them.",x
2024,"I look in the mirror and see Austin Powers basically when I wear them, it's kind of funny.",x
2024,"I have GPT Plus and enjoy hands-free AI in the car, debriefing on my day's experiences.",x
2024,"I ordered a pair, but I think these glasses are ugly and Ray Bans look goofy. Disappointed.",x
2024,These are R&D for Ray-Ban thanks for the review. I won't be purchasing them now.,x
2024,Thanks for the honest review. This product isn't for me as I don't stream or need a camera.,x
2024,My wayfarers cracked after gentle use and the warranty is only a year. This will be my last pair.,x
2024,I appreciate these detailed reviews. I just ordered mine and can't wait to try them out!,x
2024,I tried them out and they were meh. Didn't work well even in the store demo. Not worth it.,x
2024,I ordered these glasses nearly two weeks ago and they still haven't shipped. Pathetic service.,x
2025,"Overpriced headphones with some handsfree capability. Camera thing is cool for a day, not worth it.",x
2025,"I appreciate your review. I love them, except they give that bottle cap effect on my eyes.",x
2025,"I really wish one case could work with both my glasses versions, it would be very convinient.",x
2025,"Saw these for $300, only $100 more than normal Wayfarers. I hate earbuds music feature is great.",x
2025,How dark is the tint? I'm looking at getting the Skyler ones in gray with cinnamon pink lenses.,x
2025,Sounds like a good idea for a frame that isn't Rayban. Should have an option on a glasses website.,x
2025,My experience with meta updates makes me not wanting this device unless there is an open BOOTLOADER.,x
2025,"I am having issues with the WhatsApp audio message, it says wrong format when someone gets them.",x
2025,Might want to send them back to meta if you are only getting about 2 to 4 hours on battery.,x
2025,My boyfriend likes it. Strangest feature: transcribing the conversation of the people dining near us.,x
2025,I cannot wait for my pair. The day has finally come to have my heads up display.,x
2025,"The screw fell out, and they can’t be sized. I would never purchase again from lens crafters or Ray ban.",x
2025,No support for prescription progressive vision/lenses which is what most eye glass wearers use.,x
2025,Spotify may be the only third-party app. It's a good sign that Meta's open to having other providers.,x
2025,"IG scrolling apparently will roll out in an update, looking forward to the App Store for it.",x
2025,The hardware sounds amazing but my issue is the lock down to use meta software. Waiting some more.,x
2025,"If only they weren't tied to Facebook and the zuck, that would be great for this product.",x
2025,"It can’t do driving, only walking. You can ask ai for news and it seems to work well.",x
2025,"I wish you could turn off the haptic feedback when the display is off, it is very annoying.",x
2025,Youtube app and I'm there. It could be very interesting and useful on a daily basis.,x
2025,Very disappointed in the video capture quality. I might have to return these and go for the gen2.,x
2025,Wasted my money. they r useless earphones....and only take pics. It is very disappointing.,x
2025,Think I want to wait for a more consumer-friendly version with the neural wristband.,x
2025,"Thanks, any issue with reflections? I'm currently very confused about it.",x
2025,"Neat, but still undercooked. Waiting until this tech has matured enough and is more affordable.",x
2025,Still a bit pricey for what they offer. Meta can do better with their offerings.,x
2025,Thanks for the review. I'll pass until they release a model with landscape recording capability.,x
2025,"Too bulky, even at $300 a pair, It's not enticing enough for these monsters for daily use.",x
2025,"Not a fan for this tech in reviews. I want to know what you think about them, your own words.",x
2025,"I loved them so much, I bought a second pair a few months ago. I’m wearing them all day.",x
2025,My husband bought a pair in December and never wears them. They just sit on his desk unused.,x
2023,"The glasses cut glare on sunny days much better than non-polarized lenses, which means less squinting when looking at light-colored objects.",quora
2024,"As an optician, I've put prescription lenses into Meta glasses, and people really seem to like them. They are smart glasses that can record video.",quora
2023,"If you're into outdoor or active use, they're a great alternative to Ray-Ban. I am not sure if I want to utilize such.",quora
2015,Ray Ban glasses are made of the very same glass or better refractive material that a standard pair is made of. The materials are good.,quora
2025,"The OS is very intuitive and beautiful, a perfect v1 for HUD content on smartglasses.",x
2025,It's been a couple days I am wearing the Meta RayBan Display. It's a sneak peek of the future.,x
2025,The glasses are great HUD glasses but are limited by one display. I have owned the Meta RayBan Gen 3.,x
2025,Just bought a pair of meta glasses. It's lighter than expected and gesture is smooth. The caption is not very accurate though.,x
2025,"I have been waiting for great AI glasses. The Meta Raybans are great, especially after wearing Google Glass every day for a year.",x
2025,"The glasses are great, but I can't help feeling like a creep wearing Meta's New Gen 2 Glasses.",x
2025,"Just published: my full Ray-Ban Meta smart glasses Gen 2 review. Battery finally lasts almost all day, and 3K video is a real upgrade.",x
2025,Ray-Ban Meta Gen 2 review: all-day smart glasses with the same tricky questions.,x
2025,The Ray Ban Meta Smart Glasses are great. I have admired the Ray Ban smart-glasses range since they were first introduced.,x
2025,Oakley Meta HSTN Review: Sporty AI Glasses With a Confusing Game Plan.,x
2025,Ray-Ban Meta (2nd gen) review: Smart glasses are finally getting useful.,x
2025,Ray-Ban Meta Smart Glasses Gen 2 Review | Huge Upgrade Over the previous generation.,x
2025,The Meta Ray-Ban Display appears to be one of the first mainstream-ready smart glasses to solve the user interface problem.,x
2025,Ray-Ban Meta Gen 2 Review: Still the Best Non-Display Smart Glasses out there.,x
2025,Ray-Ban Meta smart glasses are getting smarter — literally. It's a great update.,x
2025,The Oakley Meta Vanguard smart glasses took me by surprise and may be my new favorite gadget.,x
